image_id,filename,source,source_url,download_date,image_type,width,height,format,file_size_kb,color_space,source_metadata,md5_hash,is_duplicate,duplicate_of,analysis_notes
LOCAL_0_PEXELS_10002691,PEXELS_10002691.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10002691.jpg,2026-05-26T22:16:19.997453,real,1040,1300,JPEG,167.2,RGB,"{'original_filename': 'PEXELS_10002691.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10002691.jpg', 'file_size_bytes': 171217}",2fa02ef4dd1019493943a738ab986376,False,,Existing image - metadata generated
LOCAL_1_PEXELS_10002692,PEXELS_10002692.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10002692.jpg,2026-05-26T22:16:26.251130,real,1040,1300,JPEG,199.65,RGB,"{'original_filename': 'PEXELS_10002692.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10002692.jpg', 'file_size_bytes': 204445}",658cd1ab5c2974f0b9bc6bce6843a2f2,False,,Existing image - metadata generated
LOCAL_2_PEXELS_1000366,PEXELS_1000366.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_1000366.jpg,2026-05-26T22:29:14.260132,real,1880,1253,JPEG,313.77,RGB,"{'original_filename': 'PEXELS_1000366.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_1000366.jpg', 'file_size_bytes': 321303}",b57d7465c0344dde0c8b6d0fc3856ca8,False,,Existing image - metadata generated
LOCAL_3_PEXELS_10004169,PEXELS_10004169.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10004169.jpg,2026-05-26T23:26:11.089453,real,975,1300,JPEG,124.79,RGB,"{'original_filename': 'PEXELS_10004169.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10004169.jpg', 'file_size_bytes': 127783}",9709be0dc5f234c714fa4b39c53eca1a,False,,Existing image - metadata generated
LOCAL_4_PEXELS_10004170,PEXELS_10004170.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10004170.jpg,2026-05-26T23:26:44.148200,real,975,1300,JPEG,82.2,RGB,"{'original_filename': 'PEXELS_10004170.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10004170.jpg', 'file_size_bytes': 84173}",5579d38a18f875cb325196c90bbe0735,False,,Existing image - metadata generated
LOCAL_5_PEXELS_10013088,PEXELS_10013088.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10013088.jpg,2026-05-26T21:06:26.544604,real,888,1300,JPEG,32.62,RGB,"{'original_filename': 'PEXELS_10013088.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10013088.jpg', 'file_size_bytes': 33401}",92404e0039d47770132f871f73b03d84,False,,Existing image - metadata generated
LOCAL_6_PEXELS_1001581,PEXELS_1001581.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_1001581.jpg,2026-05-27T00:02:55.331750,real,1880,1253,JPEG,261.46,RGB,"{'original_filename': 'PEXELS_1001581.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_1001581.jpg', 'file_size_bytes': 267731}",db2d3291cffefa18b3e2755c342960fc,False,,Existing image - metadata generated
LOCAL_7_PEXELS_1001656,PEXELS_1001656.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_1001656.jpg,2026-05-26T23:44:05.656798,real,1880,1253,JPEG,271.79,RGB,"{'original_filename': 'PEXELS_1001656.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_1001656.jpg', 'file_size_bytes': 278310}",1f181d7503bb4e8573273507302e8697,False,,Existing image - metadata generated
LOCAL_8_PEXELS_10020811,PEXELS_10020811.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10020811.jpg,2026-05-27T00:09:39.444036,real,1880,783,JPEG,349.61,RGB,"{'original_filename': 'PEXELS_10020811.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10020811.jpg', 'file_size_bytes': 358000}",c59f348b916ddc32e4f8a371fd662717,False,,Existing image - metadata generated
LOCAL_9_PEXELS_10020838,PEXELS_10020838.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10020838.jpg,2026-05-27T00:07:15.182307,real,1880,1253,JPEG,564.42,RGB,"{'original_filename': 'PEXELS_10020838.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10020838.jpg', 'file_size_bytes': 577966}",854e8115a8a145dd2cd42b2c28a51cbb,False,,Existing image - metadata generated
