model,params,best_val_acc,best_epoch,test_accuracy,test_precision,test_recall,test_f1,test_auc
SimpleCNN,422530,76.2,1,74.2,77.88,67.6,72.38,0.8185
LightViT,1965890,63.8,1,62.6,77.39,35.6,48.77,0.6919
ResNet-18,11177538,83.6,1,84.0,85.42,82.0,83.67,0.9277
ResNet-50,23512130,93.0,1,93.0,91.19,95.2,93.15,0.9773
EfficientNet-B0,4010110,94.6,1,94.4,95.49,93.2,94.33,0.9877
ViT-B/16,85800194,89.0,1,88.2,87.45,89.2,88.32,0.9542
Swin-T,27520892,87.2,1,85.0,95.81,73.2,82.99,0.9675
DeiT-S,21667972,64.6,1,65.6,71.91,51.2,59.81,0.7049
CLIP,87851266,77.2,1,70.8,65.76,86.8,74.83,0.7964
FreqDetect,14658,51.6,1,50.6,50.75,40.8,45.23,0.4856
