perturbation,level,param,n,accuracy,auc
clean,none,,60,50.0,0.4422222222222222
jpeg,q95,95,60,50.0,0.44333333333333336
jpeg,q80,80,60,50.0,0.4477777777777777
jpeg,q60,60,60,50.0,0.43333333333333335
jpeg,q40,40,60,50.0,0.4488888888888889
jpeg,q30,30,60,50.0,0.43999999999999995
downscale,x0.75,0.75,60,50.0,0.4677777777777778
downscale,x0.5,0.5,60,50.0,0.4866666666666667
downscale,x0.25,0.25,60,50.0,0.5077777777777778
blur,s0.5,0.5,60,50.0,0.45666666666666667
blur,s1.0,1.0,60,50.0,0.48444444444444446
blur,s2.0,2.0,60,50.0,0.5
