Epoch,Train Loss,Val Loss,Train Acc (%),Val Acc (%)
1,0.6882,0.6639,54.51,61.9
2,0.6711,0.647,59.03,62.68
3,0.6625,0.6351,60.27,63.3
4,0.6572,0.6345,60.97,63.02
5,0.6578,0.6347,60.92,63.72
6,0.6556,0.6282,61.23,64.76
7,0.6513,0.629,62.04,63.74
8,0.6506,0.6309,61.88,64.08
9,0.648,0.634,62.28,63.96
10,0.6453,0.6298,62.62,64.9
11,0.6425,0.6248,62.91,64.56
12,0.6408,0.6205,63.13,65.24
13,0.6401,0.6202,63.42,65.36
14,0.6386,0.6172,63.41,66.14
15,0.6383,0.6202,63.41,65.78
16,0.6373,0.6158,63.58,66.4
17,0.6379,0.6192,63.37,65.4
18,0.6361,0.6173,63.84,66.04
19,0.6354,0.6171,63.75,65.64
20,0.6351,0.617,63.8,65.64
21,0.6317,0.621,64.28,65.3
22,0.6317,0.6135,64.46,66.44
23,0.6303,0.6101,64.53,66.66
24,0.6297,0.6141,64.57,66.78
25,0.6276,0.6075,64.78,66.76
26,0.6264,0.6174,64.9,65.76
27,0.6251,0.6134,65.14,66.08
28,0.6238,0.6057,65.52,67.48
29,0.6229,0.6047,65.48,67.6
30,0.6209,0.6061,65.57,67.22
31,0.619,0.608,65.88,67.06
32,0.618,0.6007,66.11,68.38
33,0.6177,0.609,66.13,67.4
34,0.6157,0.6009,66.33,68.24
35,0.6143,0.6035,66.4,67.76
36,0.6141,0.605,66.55,67.34
37,0.6124,0.6014,66.77,67.88
38,0.6121,0.5992,66.79,67.92
39,0.611,0.6011,66.73,68.16
40,0.6098,0.598,66.86,68.18
41,0.6103,0.5996,66.94,68.0
42,0.6066,0.5979,67.35,68.26
43,0.6066,0.5995,67.37,68.08
44,0.606,0.5972,67.57,68.36
45,0.6052,0.5998,67.46,68.04
46,0.6049,0.5964,67.56,68.38
47,0.604,0.5958,67.64,68.48
48,0.605,0.5953,67.56,68.64
49,0.605,0.5966,67.57,68.14
50,0.6029,0.5963,67.79,68.44
